region,partner,oem_program,metric_date,avg_latency_ms,p95_latency_ms,packet_loss_pct,attach_success_rate,sessions
Europe & MENA,Singtel,Fleet-Leasing,2025-03-01,49.4,82.7,0.32,0.966,1243
North America,AT&T,SUV-Connected,2025-02-01,99.1,125.7,0.84,0.973,4122
India & Middle East,NTT Docomo,Fleet-Leasing,2025-01-09,130.1,179.0,0.23,0.972,1897
Asia-Pacific,Airtel,EV-Urban,2025-02-06,78.3,136.0,0.8,0.937,2901
Europe & MENA,Vodafone,Moto-2W,2025-02-17,91.0,159.8,0.76,0.974,854
Asia-Pacific,Deutsche Telekom,Compact-Connected,2025-02-12,123.3,182.9,0.31,0.985,4085
India & Middle East,SK Telecom,Luxury-Flagship,2025-01-10,101.9,178.4,0.77,0.99,3150
North America,NTT Docomo,Moto-2W,2025-02-24,76.8,154.3,0.88,0.972,4604
Latin America,Rogers,Fleet-Leasing,2025-02-03,51.0,128.7,0.26,0.958,3290
Oceania,Airtel,EV-Premium,2025-02-24,109.0,188.5,0.09,0.961,4831
Latin America,Orange,Luxury-Flagship,2025-02-24,129.0,171.3,0.19,0.962,2515
Europe & MENA,NTT Docomo,Moto-2W,2025-01-28,65.0,112.6,0.71,0.946,2856
Oceania,Deutsche Telekom,Moto-2W,2025-02-06,129.0,195.9,0.37,0.988,1639
Latin America,Orange,EV-Premium,2025-02-18,99.6,177.1,0.7,0.954,3303
Europe & MENA,Telstra,EV-Urban,2025-02-05,78.2,133.0,0.89,0.952,2517
Europe & MENA,Telefonica,EV-Urban,2025-01-22,108.2,165.8,0.59,0.956,637
North America,Orange,SUV-Connected,2025-02-26,122.0,174.7,0.14,0.99,513
Oceania,Telefonica,EV-Urban,2025-02-18,104.8,172.2,0.39,0.957,1582
Asia-Pacific,Telstra,EV-Urban,2025-02-13,132.1,175.1,0.66,0.977,1348
India & Middle East,SK Telecom,Luxury-Flagship,2025-02-23,129.6,198.8,0.28,0.958,4364
North America,Telefonica,Commercial-Van,2025-01-01,116.9,195.9,0.12,0.947,1462
Europe & MENA,Etisalat,SUV-Connected,2025-02-18,67.5,131.3,0.08,0.931,4747
Oceania,NTT Docomo,SUV-Connected,2025-01-29,89.6,165.9,0.5,0.981,3657
India & Middle East,Etisalat,Fleet-Leasing,2025-01-04,111.3,187.8,0.17,0.987,2149
Europe & MENA,TIM,Fleet-Leasing,2025-01-30,85.1,157.5,0.06,0.951,1729
Asia-Pacific,Rogers,Moto-2W,2025-01-17,83.0,146.7,0.15,0.97,3034
Europe & MENA,AT&T,EV-Urban,2025-02-16,115.8,158.3,0.68,0.98,4296
Oceania,NTT Docomo,EV-Premium,2025-01-04,61.5,88.4,0.81,0.968,2088
Europe & MENA,Vodafone,EV-Urban,2025-01-29,56.7,96.9,0.21,0.933,2352
India & Middle East,Deutsche Telekom,Commercial-Van,2025-02-03,116.0,166.6,0.34,0.949,1518
Asia-Pacific,Singtel,Fleet-Leasing,2025-01-03,48.9,89.8,0.24,0.935,4007
India & Middle East,TIM,EV-Urban,2025-01-11,73.6,153.3,0.45,0.989,4304
North America,SK Telecom,SUV-Connected,2025-01-13,49.8,119.3,0.64,0.964,2753
Asia-Pacific,Telefonica,Fleet-Leasing,2025-01-31,69.1,110.3,0.36,0.983,2249
Asia-Pacific,Orange,Fleet-Leasing,2025-02-21,62.9,112.8,0.28,0.978,4372
Oceania,SK Telecom,EV-Premium,2025-01-29,97.4,166.9,0.73,0.977,2224
Oceania,Telefonica,SUV-Connected,2025-02-26,127.2,192.4,0.29,0.989,508
Latin America,TIM,EV-Premium,2025-01-31,84.2,141.5,0.44,0.948,3224
India & Middle East,Airtel,Luxury-Flagship,2025-01-18,71.0,133.7,0.7,0.978,3414
Latin America,SK Telecom,Compact-Connected,2025-02-22,103.4,133.6,0.07,0.963,4487
India & Middle East,Deutsche Telekom,Fleet-Leasing,2025-01-19,80.2,107.1,0.81,0.955,3896
Oceania,Telefonica,EV-Premium,2025-02-18,95.5,157.6,0.4,0.931,2702
Latin America,NTT Docomo,Luxury-Flagship,2025-02-12,50.6,115.7,0.58,0.977,4709
Oceania,Singtel,Moto-2W,2025-02-28,100.9,130.2,0.86,0.95,1346
India & Middle East,Etisalat,Commercial-Van,2025-01-28,111.3,173.8,0.2,0.938,3488
Latin America,Telstra,Luxury-Flagship,2025-02-12,49.6,91.7,0.47,0.952,1354
India & Middle East,Airtel,Compact-Connected,2025-01-02,107.3,172.6,0.33,0.976,2528
North America,Telefonica,EV-Premium,2025-01-14,72.6,147.8,0.28,0.97,4387
North America,TIM,Moto-2W,2025-02-24,115.0,181.1,0.17,0.975,1071
Latin America,Airtel,Moto-2W,2025-01-21,106.7,136.0,0.74,0.943,925
North America,Airtel,Commercial-Van,2025-01-22,70.8,139.7,0.76,0.977,3793
Latin America,TIM,Luxury-Flagship,2025-02-02,113.3,139.3,0.44,0.942,1095
India & Middle East,Vodafone,EV-Premium,2025-01-14,106.2,154.6,0.41,0.988,4870
Asia-Pacific,Telstra,EV-Urban,2025-02-24,84.8,114.5,0.48,0.932,3046
India & Middle East,NTT Docomo,EV-Urban,2025-01-20,61.7,94.6,0.29,0.968,4216
India & Middle East,Orange,Compact-Connected,2025-02-23,112.9,150.7,0.27,0.94,2298
North America,SK Telecom,EV-Premium,2025-02-04,118.7,171.3,0.44,0.992,2510
Asia-Pacific,Vodafone,Fleet-Leasing,2025-02-24,118.4,173.5,0.11,0.934,3305
Oceania,SK Telecom,EV-Premium,2025-02-22,99.2,172.8,0.55,0.955,2956
Latin America,Airtel,Luxury-Flagship,2025-02-28,110.6,139.7,0.76,0.966,4899
North America,Airtel,Luxury-Flagship,2025-02-23,61.9,95.2,0.65,0.956,2009
Asia-Pacific,AT&T,Fleet-Leasing,2025-01-08,78.4,154.9,0.37,0.99,4112
Oceania,NTT Docomo,Moto-2W,2025-01-03,131.8,202.0,0.67,0.989,2896
Latin America,TIM,Commercial-Van,2025-02-27,67.0,116.4,0.8,0.939,3100
Latin America,Vodafone,Moto-2W,2025-01-19,117.9,162.3,0.11,0.963,523
India & Middle East,Singtel,EV-Premium,2025-02-03,54.4,108.1,0.44,0.991,1493
Asia-Pacific,Telstra,SUV-Connected,2025-02-19,125.8,175.0,0.31,0.978,2209
Oceania,Vodafone,Compact-Connected,2025-01-23,99.1,159.1,0.73,0.964,1823
Europe & MENA,Orange,Commercial-Van,2025-01-23,52.6,80.7,0.83,0.986,2259
Oceania,Telstra,EV-Premium,2025-02-26,116.0,149.0,0.15,0.987,2472
India & Middle East,TIM,Fleet-Leasing,2025-02-19,61.9,94.3,0.16,0.95,1985
Latin America,SK Telecom,EV-Premium,2025-02-01,75.4,117.6,0.29,0.931,1082
North America,Airtel,SUV-Connected,2025-01-22,103.8,133.4,0.1,0.946,2939
North America,Orange,SUV-Connected,2025-01-26,76.1,128.9,0.62,0.971,2296
Europe & MENA,Rogers,Luxury-Flagship,2025-01-03,64.3,113.3,0.22,0.95,2955
Asia-Pacific,TIM,Luxury-Flagship,2025-01-29,57.2,101.5,0.75,0.97,1529
North America,Orange,EV-Urban,2025-01-08,56.6,110.4,0.3,0.968,2542
Asia-Pacific,AT&T,Commercial-Van,2025-01-15,61.5,116.6,0.1,0.954,3159
Europe & MENA,Deutsche Telekom,Fleet-Leasing,2025-01-31,119.5,159.2,0.46,0.976,3838
Oceania,Orange,Luxury-Flagship,2025-02-14,130.5,179.2,0.66,0.958,1923
Latin America,Rogers,Luxury-Flagship,2025-02-07,66.7,121.4,0.65,0.949,2024
Asia-Pacific,NTT Docomo,EV-Urban,2025-02-07,114.3,165.1,0.14,0.949,2629
Asia-Pacific,Telstra,SUV-Connected,2025-01-01,117.4,188.4,0.56,0.99,4815
India & Middle East,Airtel,Luxury-Flagship,2025-02-18,90.8,157.6,0.23,0.962,2901
Asia-Pacific,Vodafone,Moto-2W,2025-02-15,101.5,169.3,0.74,0.987,4145
North America,Rogers,EV-Premium,2025-01-10,120.9,189.8,0.24,0.957,1947
India & Middle East,Telstra,Compact-Connected,2025-01-26,81.8,108.4,0.32,0.952,4151
Latin America,SK Telecom,Luxury-Flagship,2025-01-05,133.4,170.6,0.45,0.934,3684
Latin America,Deutsche Telekom,EV-Urban,2025-02-20,53.5,104.9,0.21,0.96,1276
India & Middle East,Airtel,EV-Premium,2025-02-05,76.5,141.6,0.17,0.945,917
Oceania,NTT Docomo,Fleet-Leasing,2025-01-17,63.3,118.3,0.53,0.949,3542
India & Middle East,NTT Docomo,Fleet-Leasing,2025-01-13,114.5,189.2,0.82,0.952,2827
Europe & MENA,Airtel,Luxury-Flagship,2025-02-22,67.2,144.3,0.3,0.973,4844
Latin America,SK Telecom,Luxury-Flagship,2025-01-10,56.6,124.4,0.89,0.936,2548
Asia-Pacific,Etisalat,Commercial-Van,2025-01-08,127.1,176.7,0.75,0.941,2632
India & Middle East,Rogers,Luxury-Flagship,2025-01-23,119.1,151.0,0.68,0.956,4165
North America,NTT Docomo,Fleet-Leasing,2025-01-26,45.0,81.8,0.21,0.97,790
Europe & MENA,Singtel,Compact-Connected,2025-01-12,81.3,140.1,0.78,0.957,2104
Latin America,AT&T,Moto-2W,2025-01-05,56.2,99.1,0.72,0.965,1760
Asia-Pacific,Airtel,EV-Urban,2025-02-10,130.0,177.9,0.88,0.991,3916
Oceania,SK Telecom,Compact-Connected,2025-02-17,71.7,148.5,0.61,0.965,4494
North America,Orange,SUV-Connected,2025-02-26,72.2,126.6,0.1,0.976,1625
India & Middle East,Rogers,Moto-2W,2025-02-08,110.0,180.6,0.71,0.932,3380
Asia-Pacific,Orange,SUV-Connected,2025-01-28,78.9,115.2,0.82,0.986,3991
Latin America,Vodafone,Compact-Connected,2025-01-18,112.2,188.2,0.73,0.974,1275
India & Middle East,Rogers,Luxury-Flagship,2025-01-22,108.8,151.8,0.48,0.941,2888
North America,Etisalat,SUV-Connected,2025-01-05,110.2,137.1,0.81,0.987,3373
Oceania,Vodafone,Fleet-Leasing,2025-01-31,94.6,122.7,0.9,0.931,4159
North America,Vodafone,Fleet-Leasing,2025-02-25,93.1,149.3,0.39,0.972,4148
Oceania,Rogers,EV-Premium,2025-02-15,125.2,158.0,0.69,0.944,2963
India & Middle East,Orange,Luxury-Flagship,2025-01-16,58.4,113.8,0.51,0.99,648
Latin America,Vodafone,Compact-Connected,2025-02-12,120.8,200.6,0.05,0.944,4718
Asia-Pacific,Vodafone,SUV-Connected,2025-02-21,47.6,116.5,0.6,0.977,4563
India & Middle East,Telstra,Fleet-Leasing,2025-01-25,86.3,151.8,0.79,0.973,4980
Oceania,NTT Docomo,SUV-Connected,2025-01-14,85.1,155.3,0.43,0.959,2457
Asia-Pacific,Singtel,Moto-2W,2025-01-08,102.2,160.6,0.4,0.958,4775
Latin America,Orange,EV-Premium,2025-01-31,126.8,151.8,0.62,0.97,4900
North America,TIM,EV-Urban,2025-01-18,125.4,159.1,0.77,0.964,2529
Latin America,Telefonica,Luxury-Flagship,2025-01-28,57.0,115.3,0.72,0.974,4601
Oceania,Etisalat,Fleet-Leasing,2025-01-01,131.6,180.5,0.66,0.939,776
Europe & MENA,NTT Docomo,EV-Premium,2025-02-05,111.3,188.6,0.15,0.962,4802
Asia-Pacific,Etisalat,EV-Premium,2025-01-30,94.8,159.2,0.3,0.973,2304
India & Middle East,Orange,EV-Urban,2025-03-01,122.1,185.1,0.58,0.989,789
Latin America,Deutsche Telekom,EV-Urban,2025-01-06,79.7,128.5,0.33,0.987,4696
Oceania,NTT Docomo,Commercial-Van,2025-02-21,129.9,156.1,0.24,0.967,1760
North America,Etisalat,Compact-Connected,2025-01-20,94.0,124.6,0.34,0.943,2397
Asia-Pacific,Telstra,Compact-Connected,2025-01-18,94.0,164.6,0.16,0.977,943
Asia-Pacific,Rogers,Fleet-Leasing,2025-01-27,63.7,122.8,0.2,0.963,2740
Europe & MENA,TIM,Commercial-Van,2025-02-08,126.8,153.0,0.7,0.991,1306
Oceania,AT&T,EV-Premium,2025-01-09,75.7,119.5,0.24,0.935,4331
India & Middle East,Orange,Luxury-Flagship,2025-01-16,130.5,162.5,0.54,0.97,3589
India & Middle East,Orange,Compact-Connected,2025-01-16,96.2,145.1,0.57,0.937,2987
North America,Etisalat,Moto-2W,2025-02-15,55.6,120.4,0.76,0.972,986
Latin America,Deutsche Telekom,EV-Urban,2025-01-22,59.8,121.8,0.4,0.961,2078
North America,Deutsche Telekom,SUV-Connected,2025-01-27,58.9,122.2,0.38,0.961,2012
Europe & MENA,TIM,SUV-Connected,2025-01-11,125.7,172.9,0.14,0.956,3120
North America,Rogers,Compact-Connected,2025-01-30,103.0,180.1,0.57,0.964,1429
Latin America,Deutsche Telekom,Fleet-Leasing,2025-01-14,69.0,139.2,0.87,0.937,4121
Oceania,Vodafone,Compact-Connected,2025-02-16,107.2,180.9,0.26,0.991,1589
Latin America,Rogers,Moto-2W,2025-02-14,131.4,182.9,0.69,0.942,1445
India & Middle East,TIM,EV-Premium,2025-02-25,60.2,136.1,0.2,0.933,4049
Oceania,SK Telecom,Moto-2W,2025-02-15,113.7,138.7,0.34,0.943,2831
North America,Orange,Commercial-Van,2025-02-14,129.5,177.1,0.78,0.945,3222
Latin America,Singtel,Luxury-Flagship,2025-02-05,118.9,155.2,0.32,0.952,3041
Asia-Pacific,SK Telecom,Moto-2W,2025-01-15,75.2,137.3,0.62,0.953,2652
India & Middle East,SK Telecom,Compact-Connected,2025-01-31,61.8,138.7,0.47,0.953,4022
North America,Vodafone,Fleet-Leasing,2025-02-15,105.7,177.1,0.26,0.978,4042
Latin America,Telstra,EV-Urban,2025-02-22,55.4,85.6,0.18,0.985,4196
North America,NTT Docomo,Fleet-Leasing,2025-02-14,129.6,161.1,0.09,0.989,3067
North America,Vodafone,SUV-Connected,2025-01-26,106.0,178.2,0.25,0.973,3156
Europe & MENA,TIM,Luxury-Flagship,2025-02-23,82.3,111.2,0.88,0.963,4444
India & Middle East,Telefonica,Compact-Connected,2025-01-03,93.8,160.8,0.3,0.961,2405
North America,Vodafone,Commercial-Van,2025-01-06,89.3,161.9,0.14,0.98,4436
Europe & MENA,Etisalat,Luxury-Flagship,2025-02-15,113.7,178.1,0.56,0.95,2449
North America,Vodafone,Luxury-Flagship,2025-01-14,86.8,139.1,0.54,0.931,4611
North America,SK Telecom,Commercial-Van,2025-01-10,71.5,100.7,0.87,0.935,3380
Europe & MENA,SK Telecom,Luxury-Flagship,2025-02-10,48.6,75.2,0.73,0.975,1940
Oceania,AT&T,EV-Urban,2025-02-14,135.0,174.1,0.81,0.953,2994
Europe & MENA,AT&T,Compact-Connected,2025-01-18,108.3,182.2,0.1,0.992,1370
India & Middle East,Telefonica,Commercial-Van,2025-01-23,93.2,147.3,0.52,0.94,812
Asia-Pacific,NTT Docomo,Luxury-Flagship,2025-02-12,115.2,160.4,0.46,0.972,2958
Latin America,Telefonica,Commercial-Van,2025-01-04,59.6,111.2,0.52,0.944,1052
India & Middle East,Telefonica,EV-Premium,2025-01-14,73.7,151.8,0.88,0.987,1533
Oceania,SK Telecom,Compact-Connected,2025-02-09,124.9,204.3,0.9,0.942,3022
North America,Vodafone,Commercial-Van,2025-01-26,113.8,187.3,0.11,0.944,4605
Latin America,Etisalat,Fleet-Leasing,2025-02-06,55.9,125.8,0.48,0.972,1403
India & Middle East,Rogers,Fleet-Leasing,2025-01-12,61.8,124.0,0.76,0.947,3796
Oceania,AT&T,Compact-Connected,2025-02-04,45.4,85.9,0.16,0.955,979
India & Middle East,Telefonica,Fleet-Leasing,2025-02-25,125.6,171.3,0.3,0.991,1469
Asia-Pacific,TIM,Commercial-Van,2025-02-08,94.6,133.6,0.79,0.941,1028
Oceania,Rogers,Commercial-Van,2025-01-22,52.0,118.8,0.65,0.964,3274
North America,NTT Docomo,Moto-2W,2025-02-01,122.6,199.2,0.37,0.932,4661
North America,Telefonica,Compact-Connected,2025-02-20,51.5,121.4,0.6,0.977,853
Europe & MENA,NTT Docomo,Compact-Connected,2025-01-11,50.6,96.8,0.17,0.954,2666
Asia-Pacific,Rogers,SUV-Connected,2025-01-23,109.3,179.8,0.84,0.967,2473
Latin America,SK Telecom,EV-Urban,2025-02-26,107.3,171.1,0.35,0.987,2055
Europe & MENA,Etisalat,Moto-2W,2025-01-20,123.5,200.8,0.08,0.988,4624
India & Middle East,Singtel,SUV-Connected,2025-02-20,62.1,108.9,0.3,0.977,4100
India & Middle East,Deutsche Telekom,Commercial-Van,2025-01-12,51.4,125.2,0.06,0.957,3123
Asia-Pacific,NTT Docomo,EV-Premium,2025-01-05,123.9,190.4,0.88,0.956,4948
Oceania,SK Telecom,Luxury-Flagship,2025-01-01,115.6,168.9,0.75,0.988,2284
Europe & MENA,Orange,Commercial-Van,2025-01-09,78.1,114.4,0.38,0.942,3558
India & Middle East,Deutsche Telekom,SUV-Connected,2025-01-14,50.5,106.1,0.6,0.967,4023
Asia-Pacific,Orange,EV-Premium,2025-01-14,48.0,99.1,0.8,0.956,3646
Europe & MENA,AT&T,Luxury-Flagship,2025-01-02,76.4,106.2,0.65,0.959,3438
Europe & MENA,Vodafone,EV-Urban,2025-02-18,79.5,117.0,0.2,0.942,1219
North America,Etisalat,EV-Urban,2025-02-19,101.3,173.2,0.52,0.935,1779
Europe & MENA,Deutsche Telekom,SUV-Connected,2025-02-02,115.9,173.7,0.89,0.963,2737
Latin America,Singtel,SUV-Connected,2025-02-01,58.4,126.6,0.88,0.975,4066
Europe & MENA,Telefonica,Commercial-Van,2025-02-23,112.9,155.0,0.83,0.966,3415
Europe & MENA,NTT Docomo,Fleet-Leasing,2025-01-26,63.9,134.4,0.54,0.97,1588
Oceania,AT&T,Compact-Connected,2025-02-27,78.6,132.9,0.32,0.987,4059
Latin America,Airtel,EV-Urban,2025-02-08,119.4,172.5,0.13,0.974,4758
India & Middle East,Etisalat,EV-Premium,2025-02-22,77.4,116.3,0.69,0.97,1664
Latin America,Telefonica,Compact-Connected,2025-01-08,103.8,153.5,0.72,0.989,956
Oceania,Orange,Commercial-Van,2025-01-19,95.3,121.3,0.06,0.931,1131
Europe & MENA,Singtel,EV-Premium,2025-02-04,117.8,177.5,0.58,0.98,769
Asia-Pacific,Singtel,EV-Urban,2025-01-03,76.9,131.0,0.6,0.951,4876
North America,Orange,Commercial-Van,2025-01-10,88.5,167.1,0.86,0.979,4376
India & Middle East,Orange,EV-Premium,2025-02-24,47.7,74.3,0.53,0.97,3125
Asia-Pacific,Etisalat,Moto-2W,2025-02-27,113.8,145.7,0.5,0.939,1022
Asia-Pacific,NTT Docomo,Luxury-Flagship,2025-01-02,99.0,125.7,0.51,0.946,788
North America,Rogers,Commercial-Van,2025-01-12,95.7,137.2,0.14,0.965,3529
North America,Etisalat,Fleet-Leasing,2025-02-16,71.1,141.7,0.18,0.977,4519
Latin America,Orange,Luxury-Flagship,2025-02-12,91.0,127.6,0.19,0.955,1306
Latin America,Telefonica,Fleet-Leasing,2025-01-16,101.0,172.3,0.24,0.964,3730
Europe & MENA,AT&T,Compact-Connected,2025-02-22,45.3,119.2,0.37,0.991,4217
North America,SK Telecom,EV-Urban,2025-01-07,116.9,166.9,0.82,0.965,4941
India & Middle East,Airtel,Compact-Connected,2025-02-06,130.3,206.2,0.21,0.961,3610
Oceania,Vodafone,Compact-Connected,2025-03-01,109.2,146.8,0.28,0.979,2298
North America,Deutsche Telekom,Compact-Connected,2025-02-25,46.8,109.8,0.16,0.933,3432
India & Middle East,TIM,Fleet-Leasing,2025-02-09,45.4,104.7,0.57,0.93,2436
North America,NTT Docomo,Luxury-Flagship,2025-01-07,118.4,153.3,0.1,0.982,2820
North America,Deutsche Telekom,SUV-Connected,2025-01-31,89.3,163.1,0.73,0.962,2306
Latin America,SK Telecom,Compact-Connected,2025-01-19,126.9,154.3,0.25,0.979,1365
Europe & MENA,Airtel,SUV-Connected,2025-01-25,92.4,137.8,0.73,0.988,2633
Oceania,Singtel,EV-Premium,2025-01-26,54.0,110.5,0.47,0.984,3067
Asia-Pacific,Telstra,SUV-Connected,2025-02-01,57.2,102.5,0.46,0.975,4557
North America,Rogers,EV-Urban,2025-03-01,63.4,92.6,0.76,0.942,1316
India & Middle East,Rogers,SUV-Connected,2025-01-19,118.1,153.1,0.66,0.983,2526
Oceania,Airtel,Commercial-Van,2025-02-13,55.0,82.4,0.48,0.965,538
North America,Telefonica,Moto-2W,2025-02-23,91.7,165.6,0.63,0.93,775
India & Middle East,Airtel,Compact-Connected,2025-02-22,119.0,194.4,0.44,0.935,3519
North America,Etisalat,Moto-2W,2025-02-12,69.0,97.9,0.42,0.985,1206
Latin America,SK Telecom,EV-Premium,2025-01-31,124.5,160.7,0.7,0.949,4607
Latin America,Etisalat,EV-Premium,2025-01-02,94.7,170.5,0.22,0.95,2727
Oceania,Orange,Luxury-Flagship,2025-02-08,71.1,111.9,0.3,0.947,3017
Asia-Pacific,AT&T,Commercial-Van,2025-01-16,80.2,107.9,0.37,0.942,2334
Asia-Pacific,Singtel,Moto-2W,2025-02-27,107.9,177.0,0.1,0.98,2131
North America,Vodafone,Compact-Connected,2025-02-28,105.7,135.5,0.38,0.974,1659
North America,Telstra,EV-Urban,2025-02-04,72.8,139.3,0.38,0.931,3398
Latin America,NTT Docomo,Fleet-Leasing,2025-01-23,67.7,104.0,0.16,0.99,4621
Europe & MENA,Rogers,Compact-Connected,2025-01-18,74.0,102.2,0.39,0.946,1199
North America,Deutsche Telekom,Luxury-Flagship,2025-02-02,122.4,155.2,0.83,0.934,4819
Latin America,AT&T,Commercial-Van,2025-02-26,90.4,142.7,0.13,0.982,4802
India & Middle East,Vodafone,SUV-Connected,2025-01-26,130.5,196.6,0.39,0.944,2584
Europe & MENA,Singtel,Compact-Connected,2025-02-15,86.5,128.7,0.1,0.944,2775
Europe & MENA,Deutsche Telekom,Fleet-Leasing,2025-01-12,63.7,126.7,0.41,0.967,2291
Oceania,Rogers,Luxury-Flagship,2025-01-20,117.6,156.4,0.79,0.966,4667
Asia-Pacific,NTT Docomo,Luxury-Flagship,2025-01-13,74.2,122.8,0.74,0.954,1256
Latin America,Etisalat,Luxury-Flagship,2025-01-17,94.8,169.5,0.18,0.939,1554
Latin America,Rogers,Luxury-Flagship,2025-01-20,49.6,81.6,0.79,0.981,3148
North America,Etisalat,Moto-2W,2025-01-26,98.8,142.9,0.39,0.988,980
Europe & MENA,Airtel,Moto-2W,2025-02-24,90.0,123.7,0.53,0.944,4073
Oceania,Deutsche Telekom,EV-Urban,2025-01-22,125.7,167.8,0.71,0.956,2863
Latin America,AT&T,SUV-Connected,2025-02-28,118.5,180.2,0.25,0.976,3202
Oceania,Singtel,Commercial-Van,2025-02-06,56.8,118.6,0.4,0.949,1964
Latin America,Deutsche Telekom,EV-Premium,2025-02-13,70.0,130.8,0.4,0.984,3539
North America,Airtel,Commercial-Van,2025-03-01,46.1,103.6,0.6,0.948,2567
Oceania,AT&T,SUV-Connected,2025-02-10,93.2,169.7,0.42,0.945,1533
North America,Deutsche Telekom,EV-Urban,2025-01-11,101.6,160.1,0.58,0.978,1469
Latin America,NTT Docomo,Commercial-Van,2025-01-31,48.7,109.7,0.23,0.937,3058
India & Middle East,Rogers,Luxury-Flagship,2025-02-20,73.6,148.4,0.39,0.991,2452
Oceania,Rogers,Luxury-Flagship,2025-02-21,62.9,107.8,0.58,0.982,2459
North America,Telstra,Luxury-Flagship,2025-01-31,68.7,114.0,0.14,0.985,3631
Asia-Pacific,AT&T,Moto-2W,2025-02-21,118.6,185.5,0.83,0.956,1976
North America,Etisalat,EV-Premium,2025-01-18,117.4,164.2,0.25,0.972,2697
Oceania,Orange,SUV-Connected,2025-01-13,46.6,106.0,0.39,0.938,2498
Europe & MENA,SK Telecom,Moto-2W,2025-02-02,46.6,101.1,0.89,0.967,2209
Europe & MENA,Telstra,EV-Urban,2025-02-26,105.3,152.5,0.22,0.936,705
India & Middle East,NTT Docomo,Fleet-Leasing,2025-01-26,90.1,117.1,0.17,0.945,3471
North America,Telefonica,Moto-2W,2025-01-09,62.9,122.7,0.52,0.97,2152
Oceania,Orange,Moto-2W,2025-01-13,128.6,187.1,0.13,0.954,1874
Asia-Pacific,Airtel,Luxury-Flagship,2025-01-02,94.2,132.8,0.84,0.956,2384
India & Middle East,Vodafone,EV-Premium,2025-02-06,78.3,156.3,0.19,0.947,4651
India & Middle East,Telstra,SUV-Connected,2025-02-13,127.0,199.4,0.1,0.974,621
Asia-Pacific,Telstra,Fleet-Leasing,2025-01-21,61.4,116.9,0.5,0.982,4353
Asia-Pacific,NTT Docomo,EV-Premium,2025-03-01,89.6,129.5,0.8,0.989,617
India & Middle East,Telefonica,Commercial-Van,2025-01-30,100.5,147.2,0.32,0.953,4905
Latin America,Deutsche Telekom,EV-Premium,2025-02-22,48.4,79.0,0.28,0.96,1591
Latin America,AT&T,EV-Urban,2025-01-05,114.0,144.3,0.76,0.933,1820
Latin America,Etisalat,Commercial-Van,2025-02-24,50.6,81.0,0.26,0.982,2712
Asia-Pacific,Singtel,EV-Premium,2025-01-09,109.4,153.0,0.58,0.931,1660
Europe & MENA,Airtel,EV-Premium,2025-01-28,114.4,161.6,0.3,0.933,3486
Asia-Pacific,Singtel,SUV-Connected,2025-02-03,97.7,136.7,0.36,0.989,4319
Asia-Pacific,Rogers,Fleet-Leasing,2025-02-28,87.0,157.2,0.16,0.936,1860
North America,Telstra,Fleet-Leasing,2025-03-01,134.1,177.1,0.8,0.97,3502
North America,Rogers,EV-Urban,2025-01-30,79.4,132.6,0.31,0.964,2239
Europe & MENA,Orange,EV-Premium,2025-01-22,56.1,101.1,0.18,0.952,1884
Europe & MENA,SK Telecom,SUV-Connected,2025-02-22,48.3,93.8,0.2,0.96,4653
Latin America,Rogers,EV-Premium,2025-02-23,95.6,125.7,0.75,0.992,4874
Asia-Pacific,Orange,SUV-Connected,2025-01-16,87.3,159.2,0.4,0.944,1468
Latin America,Telstra,Luxury-Flagship,2025-01-22,84.3,155.2,0.69,0.946,2779
North America,Singtel,Commercial-Van,2025-01-06,118.5,167.6,0.59,0.992,2063
Latin America,Airtel,Compact-Connected,2025-02-25,103.9,133.6,0.14,0.957,2509
Oceania,Telefonica,SUV-Connected,2025-01-01,126.5,170.2,0.07,0.988,4098
Oceania,SK Telecom,SUV-Connected,2025-02-27,104.3,133.7,0.19,0.973,4891
India & Middle East,Telefonica,Commercial-Van,2025-01-10,76.0,139.8,0.07,0.965,4133
Oceania,Singtel,Luxury-Flagship,2025-02-03,92.2,119.5,0.16,0.976,1307
India & Middle East,SK Telecom,Commercial-Van,2025-02-12,107.6,134.3,0.19,0.966,4019
North America,Orange,Fleet-Leasing,2025-01-25,122.3,196.5,0.44,0.95,1662
Europe & MENA,Orange,SUV-Connected,2025-01-19,130.6,188.2,0.35,0.942,2385
Oceania,TIM,Commercial-Van,2025-02-21,125.9,159.7,0.22,0.955,4581
North America,Telefonica,SUV-Connected,2025-02-14,81.7,123.2,0.22,0.955,2501
Oceania,Vodafone,EV-Premium,2025-02-25,79.9,140.7,0.72,0.968,680
Oceania,Telstra,Commercial-Van,2025-02-15,130.7,198.6,0.46,0.965,1269
Oceania,NTT Docomo,Luxury-Flagship,2025-01-14,99.6,130.3,0.18,0.989,2753
Europe & MENA,Telefonica,EV-Premium,2025-01-15,115.1,184.3,0.33,0.931,3584
North America,Orange,Fleet-Leasing,2025-01-16,98.2,158.2,0.33,0.947,1728
Oceania,Orange,Luxury-Flagship,2025-01-13,71.8,117.5,0.82,0.953,3015
Europe & MENA,TIM,SUV-Connected,2025-01-30,95.7,152.8,0.3,0.946,1113
Asia-Pacific,Vodafone,SUV-Connected,2025-02-21,108.2,149.2,0.75,0.94,2255
Europe & MENA,AT&T,Luxury-Flagship,2025-02-26,87.1,158.5,0.3,0.956,3616
